STE_NAME21,Year12_rate
New South Wales,70.4
New South Wales,51.5
New South Wales,49.2
New South Wales,56.5
New South Wales,77.5
New South Wales,61.4
New South Wales,58.7
New South Wales,65.6
New South Wales,78.8
New South Wales,66.1
New South Wales,68.7
New South Wales,71.6
New South Wales,83.1
New South Wales,73.3
New South Wales,71.4
New South Wales,75.8
New South Wales,74.5
New South Wales,58.5
New South Wales,58.6
New South Wales,63.8
New South Wales,80.2
New South Wales,67.2
New South Wales,64.8
New South Wales,70.5
Victoria,82.8
Victoria,68.2
Victoria,68.9
Victoria,86.1
Victoria,78.0
Victoria,72.9
Victoria,79.6
Victoria,86.5
Victoria,83.1
Victoria,83.9
Victoria,90.7
Victoria,84.7
Victoria,80.8
Victoria,85.8
Victoria,84.6
Victoria,75.4
Victoria,76.0
Victoria,88.4
Victoria,81.3
Victoria,76.8
Victoria,82.6
Queensland,76.2
Queensland,68.3
Queensland,73.1
Queensland,62.8
Queensland,80.5
Queensland,73.5
Queensland,69.6
Queensland,74.0
Queensland,81.9
Queensland,78.0
Queensland,81.0
Queensland,82.1
Queensland,83.8
Queensland,81.2
Queensland,78.8
Queensland,81.1
Queensland,79.0
Queensland,73.0
Queensland,77.0
Queensland,71.9
Queensland,82.1
Queensland,77.2
Queensland,74.1
Queensland,77.5
South Australia,85.6
South Australia,71.3
South Australia,96.7
South Australia,83.0
South Australia,71.9
South Australia,81.6
South Australia,97.4
South Australia,92.8
South Australia,106.9
South Australia,95.0
South Australia,91.6
South Australia,96.4
South Australia,91.4
South Australia,81.8
South Australia,101.7
South Australia,88.9
South Australia,81.3
South Australia,88.8
Western Australia,73.2
Western Australia,63.1
Western Australia,58.3
Western Australia,59.3
Western Australia,76.7
Western Australia,69.4
Western Australia,62.7
Western Australia,73.0
Western Australia,77.4
Western Australia,77.8
Western Australia,77.3
Western Australia,70.2
Western Australia,79.2
Western Australia,78.1
Western Australia,71.4
Western Australia,79.7
Western Australia,75.3
Western Australia,70.2
Western Australia,67.4
Western Australia,64.4
Western Australia,77.9
Western Australia,73.6
Western Australia,66.9
Western Australia,76.3
Tasmania,52.9
Tasmania,36.2
Tasmania,30.6
Tasmania,62.1
Tasmania,51.0
Tasmania,37.5
Tasmania,46.5
Tasmania,60.3
Tasmania,59.2
Tasmania,82.4
Tasmania,71.1
Tasmania,63.6
Tasmania,53.6
Tasmania,60.2
Tasmania,56.5
Tasmania,47.1
Tasmania,51.8
Tasmania,66.5
Tasmania,57.0
Tasmania,45.3
Tasmania,53.1
Northern Territory,57.5
Northern Territory,16.8
Northern Territory,65.4
Northern Territory,46.4
Northern Territory,20.6
Northern Territory,37.5
Northern Territory,70.8
Northern Territory,21.0
Northern Territory,73.9
Northern Territory,57.6
Northern Territory,27.8
Northern Territory,46.1
Northern Territory,63.9
Northern Territory,18.8
Northern Territory,69.6
Northern Territory,51.7
Northern Territory,24.1
Northern Territory,41.6
Australian Capital Territory,73.0
Australian Capital Territory,71.9
Australian Capital Territory,78.7
Australian Capital Territory,72.9
Australian Capital Territory,74.6
Australian Capital Territory,72.4
Australian Capital Territory,87.4
Australian Capital Territory,74.6
Australian Capital Territory,73.8
Australian Capital Territory,72.2
Australian Capital Territory,82.8
Australian Capital Territory,73.7
Australia,76.3
Australia,61.2
Australia,61.9
Australia,49.5
Australia,80.6
Australia,70.8
Australia,64.2
Australia,72.2
Australia,82.6
Australia,74.5
Australia,77.2
Australia,62.1
Australia,85.3
Australia,80.0
Australia,75.5
Australia,80.6
Australia,79.4
Australia,67.6
Australia,69.2
Australia,55.5
Australia,82.9
Australia,75.2
Australia,69.7
Australia,76.3
New South Wales,72.1
New South Wales,54.4
New South Wales,52.2
New South Wales,58.9
New South Wales,77.3
New South Wales,63.7
New South Wales,62.5
New South Wales,67.6
New South Wales,81.0
New South Wales,69.9
New South Wales,73.6
New South Wales,74.0
New South Wales,84.3
New South Wales,76.2
New South Wales,75.0
New South Wales,78.4
New South Wales,76.4
New South Wales,61.8
New South Wales,62.4
New South Wales,66.3
New South Wales,80.7
New South Wales,69.7
New South Wales,68.5
New South Wales,72.8
Victoria,83.5
Victoria,66.9
Victoria,68.5
Victoria,86.4
Victoria,78.2
Victoria,73.3
Victoria,79.8
Victoria,88.8
Victoria,83.4
Victoria,84.9
Victoria,90.5
Victoria,87.6
Victoria,83.7
Victoria,87.6
Victoria,86.1
Victoria,74.9
Victoria,76.3
Victoria,88.4
Victoria,82.8
Victoria,78.4
Victoria,83.6
Queensland,80.2
Queensland,70.2
Queensland,76.6
Queensland,69.9
Queensland,83.9
Queensland,77.6
Queensland,72.7
Queensland,77.6
Queensland,84.2
Queensland,82.7
Queensland,84.4
Queensland,79.9
Queensland,85.5
Queensland,83.8
Queensland,82.5
Queensland,83.8
Queensland,82.1
Queensland,76.2
Queensland,80.4
Queensland,74.7
Queensland,84.7
Queensland,80.6
Queensland,77.5
Queensland,80.6
South Australia,91.8
South Australia,77.9
South Australia,102.4
South Australia,88.0
South Australia,78.2
South Australia,87.3
South Australia,101.0
South Australia,90.2
South Australia,109.0
South Australia,97.0
South Australia,96.9
South Australia,99.8
South Australia,96.3
South Australia,83.9
South Australia,105.7
South Australia,92.4
South Australia,87.1
South Australia,93.4
Western Australia,78.5
Western Australia,71.1
Western Australia,68.0
Western Australia,67.2
Western Australia,81.1
Western Australia,75.8
Western Australia,70.5
Western Australia,76.5
Western Australia,82.0
Western Australia,83.0
Western Australia,83.8
Western Australia,67.3
Western Australia,83.0
Western Australia,83.2
Western Australia,75.3
Western Australia,81.5
Western Australia,80.2
Western Australia,76.8
Western Australia,75.6
Western Australia,67.2
Western Australia,82.0
Western Australia,79.4
Western Australia,72.8
Western Australia,78.9
Tasmania,53.5
Tasmania,41.6
Tasmania,31.3
Tasmania,68.4
Tasmania,50.5
Tasmania,40.5
Tasmania,48.9
Tasmania,68.6
Tasmania,65.1
Tasmania,58.8
Tasmania,79.5
Tasmania,71.0
Tasmania,60.2
Tasmania,67.3
Tasmania,60.9
Tasmania,52.7
Tasmania,42.7
Tasmania,73.8
Tasmania,60.3
Tasmania,49.9
Tasmania,57.7
Northern Territory,64.1
Northern Territory,21.3
Northern Territory,71.8
Northern Territory,55.6
Northern Territory,24.4
Northern Territory,43.7
Northern Territory,81.1
Northern Territory,27.6
Northern Territory,87.6
Northern Territory,72.6
Northern Territory,31.4
Northern Territory,55.5
Northern Territory,72.3
Northern Territory,24.4
Northern Territory,79.6
Northern Territory,63.7
Northern Territory,27.8
Northern Territory,49.4
Australian Capital Territory,74.9
Australian Capital Territory,73.3
Australian Capital Territory,84.1
Australian Capital Territory,74.9
Australian Capital Territory,78.9
Australian Capital Territory,75.6
Australian Capital Territory,97.6
Australian Capital Territory,78.8
Australian Capital Territory,76.9
Australian Capital Territory,74.5
Australian Capital Territory,90.6
Australian Capital Territory,76.8
Australia,78.9
Australia,63.0
Australia,65.6
Australia,56.1
Australia,82.3
Australia,73.6
Australia,67.7
Australia,74.5
Australia,85.2
Australia,77.7
Australia,81.8
Australia,64.2
Australia,86.8
Australia,83.2
Australia,79.3
Australia,83.2
Australia,82.0
Australia,70.1
Australia,73.4
Australia,59.9
Australia,84.5
Australia,78.2
Australia,73.3
Australia,78.7
New South Wales,68.6
New South Wales,55.8
New South Wales,53.5
New South Wales,57.3
New South Wales,74.4
New South Wales,62.2
New South Wales,60.1
New South Wales,65.3
New South Wales,78.0
New South Wales,68.9
New South Wales,71.1
New South Wales,83.0
New South Wales,81.6
New South Wales,72.6
New South Wales,74.2
New South Wales,75.9
New South Wales,73.2
New South Wales,62.2
New South Wales,62.1
New South Wales,69.3
New South Wales,77.9
New South Wales,67.2
New South Wales,66.9
New South Wales,70.4
Victoria,79.2
Victoria,69.3
Victoria,68.8
Victoria,84.4
Victoria,75.8
Victoria,67.3
Victoria,76.9
Victoria,83.4
Victoria,83.6
Victoria,81.5
Victoria,86.3
Victoria,82.4
Victoria,80.3
Victoria,83.4
Victoria,81.2
Victoria,76.2
Victoria,74.9
Victoria,85.4
Victoria,79.0
Victoria,73.6
Victoria,80.1
Queensland,75.7
Queensland,69.3
Queensland,71.8
Queensland,71.6
Queensland,77.9
Queensland,73.0
Queensland,71.5
Queensland,73.8
Queensland,81.2
Queensland,76.7
Queensland,84.0
Queensland,80.7
Queensland,79.1
Queensland,81.1
Queensland,81.5
Queensland,80.7
Queensland,78.4
Queensland,72.9
Queensland,77.7
Queensland,75.9
Queensland,78.5
Queensland,76.9
Queensland,76.3
Queensland,77.2
South Australia,88.9
South Australia,79.7
South Australia,95.1
South Australia,84.1
South Australia,81.0
South Australia,85.2
South Australia,99.4
South Australia,91.6
South Australia,98.4
South Australia,96.5
South Australia,97.4
South Australia,97.2
South Australia,94.0
South Australia,85.6
South Australia,96.8
South Australia,90.1
South Australia,88.9
South Australia,91.1
Western Australia,78.9
Western Australia,65.9
Western Australia,67.8
Western Australia,67.3
Western Australia,80.1
Western Australia,75.6
Western Australia,69.7
Western Australia,76.3
Western Australia,84.6
Western Australia,77.9
Western Australia,80.6
Western Australia,78.3
Western Australia,83.8
Western Australia,83.4
Western Australia,82.2
Western Australia,83.4
Western Australia,81.7
Western Australia,71.8
Western Australia,74.0
Western Australia,72.6
Western Australia,81.9
Western Australia,79.4
Western Australia,75.8
Western Australia,79.8
Tasmania,53.7
Tasmania,48.0
Tasmania,54.1
Tasmania,62.5
Tasmania,58.2
Tasmania,44.6
Tasmania,52.1
Tasmania,66.1
Tasmania,65.4
Tasmania,82.8
Tasmania,76.8
Tasmania,70.6
Tasmania,59.9
Tasmania,66.2
Tasmania,59.7
